# line-def-guide: [A.X,A.Y,A.Z];[B.X,B.Y,B.Z]

#cube close-right
[-50,-50,-50];[50,-50,-50]
[-50,-50,50];[50,-50,50]
[-50,-50,-50];[-50,-50,50]
[50,-50,-50];[50,50,-50]
[50,-50,50];[50,50,50]
[50,-50,-50];[50,-50,50]
[50,50,-50];[-50,50,-50]
[50,50,50];[-50,50,50]
[50,50,-50];[50,50,50]
[-50,50,-50];[-50,-50,-50]
[-50,50,50];[-50,-50,50]
[-50,50,-50];[-50,50,50]

#roof
[50,50,50];[0,85,0]
[-50,50,50];[0,85,0]
[50,50,-50];[0,85,0]
[-50,50,-50];[0,85,0]

#cube close-left
[-250,-50,-50];[-150,-50,-50]
[-250,-50,50];[-150,-50,50]
[-250,-50,-50];[-250,-50,50]
[-150,-50,-50];[-150,50,-50]
[-150,-50,50];[-150,50,50]
[-150,-50,-50];[-150,-50,50]
[-150,50,-50];[-250,50,-50]
[-150,50,50];[-250,50,50]
[-150,50,-50];[-150,50,50]
[-250,50,-50];[-250,-50,-50]
[-250,50,50];[-250,-50,50]
[-250,50,-50];[-250,50,50]

#roof
[-150,50,-50];[-200,85,0]
[-150,50,50];[-200,85,0]
[-250,50,-50];[-200,85,0]
[-250,50,50];[-200,85,0]

#cube far-right
[-50,-50,150];[50,-50,150]
[-50,-50,250];[50,-50,250]
[-50,-50,150];[-50,-50,250]
[50,-50,150];[50,50,150]
[50,-50,250];[50,50,250]
[50,-50,150];[50,-50,250]
[50,50,150];[-50,50,150]
[50,50,250];[-50,50,250]
[50,50,150];[50,50,250]
[-50,50,150];[-50,-50,150]
[-50,50,250];[-50,-50,250]
[-50,50,150];[-50,50,250]

#roof
[50,50,150];[0,85,200]
[50,50,250];[0,85,200]
[-50,50,150];[0,85,200]
[-50,50,250];[0,85,200]

#cube far-left
[-250,-50,150];[-150,-50,150]
[-250,-50,250];[-150,-50,250]
[-250,-50,150];[-250,-50,250]
[-150,-50,150];[-150,50,150]
[-150,-50,250];[-150,50,250]
[-150,-50,150];[-150,-50,250]
[-150,50,150];[-250,50,150]
[-150,50,250];[-250,50,250]
[-150,50,150];[-150,50,250]
[-250,50,150];[-250,-50,150]
[-250,50,250];[-250,-50,250]
[-250,50,150];[-250,50,250]

#roof
[-150,50,150];[-200,85,200]
[-150,50,250];[-200,85,200]
[-250,50,150];[-200,85,200]
[-250,50,250];[-200,85,200]

#pyramid
#[-150,50,150];[-50,50,150]
#[-150,50,150];[-100,150,100]
#[-150,50,150];[-150,50,50]
#[-50,50,150];[-50,50,50]
#[-50,50,150];[-100,150,100]
#[-50,50,50];[-150,50,50]
#[-50,50,50];[-100,150,100]
#[-150,50,50];[-100,150,100]
